OPERAÇÃO ARTISTAS - MÍDIA KIT,,,,,,,,,,,,,,,,,,,,,,,,
Nome,Categoria,Gravadora ,Spotify,,,,,,,,,,,Youtube,,,,,,Youtube + Spotify,Instagram,,MÉDIA NO SPOTIFY,MÉDIA NO YOUTUBE
,,,,,,Charts,,,,Streams ,,,,,,,,,,,,,,
,,,Qtd de músicas,Ouvintes Mensais,Seguidores ,Músicas no TOP200 BR,Playlists Regionais,Streams Rap (posição),Ouvintes Rap (posição),Total Streams,Últimos 30 dias ,Média Diária ,Top 5 musicas ,Inscritos,Youtube Views,Youtube Feats,Youtube Music,Youtube Total,Top 5,Total Plays,,Seguidores,,
MVK,Aritsta ,A Matilha ,13,,,,,87,165,,,,O Tempo É Professor - Exibido - Ei Amor - Ei Amor - Drill 23,37.770,,,,0,Exibido - Ei Amor - Ei Amor (Remix) - Drill 23 - Cidade Profana - Blogueira,0,,206.242,,
Pedrin ,Aritsta ,A Matilha ,18,,,,,85,179,,,,12 - Pouca Idade - V8 - Proibidão 2022 - Rocket,49.700,,,,0,Pouca Idade - 12 - 15771 - Rocket - Liberdade,0,,128.565,,
Filhão,Aritsta ,A Matilha ,17,,,,,98,193,,,,Sem Sentimento - Acelero - Altura Que Nois Tá - Tropa do Poze Tropa do Sábio 10 Minutinhos 2+1 - Mina Perversa,,,,,0,"Sem Sentimento - Altura Que Nois Tá - Na Pista - Que Beat É Esse, Beat Diferente - Ui Piranha Agacha e Mama",0,,412.777,,
Shenlong,Aritsta ,A Matilha ,10,,,,,78,139,,,,Assault (Rio) - Assault Monopólio - Festa na Mainstreet - Vivência de Trap - Neuroses,,,,,0,Assault (Rio) - Assault - Festa na Mainstreet - Neuroses - Vivência de Trap,0,,104.321,,
DEGE,Aritsta ,A Matilha ,16,,,,,91,185,,,,12 - Proibidão 2022 - Quebra Osso - Reconstruir - Pitaya,1.220,,,,0,Fases - Joga Pra Raul - Pequenos Valores - Eu Odeio Flash - Joga Essa Nota,0,,87.018,,
Hashi,Aritsta ,A Matilha ,12,,,,,101,196,,,,Acelero - Cristo Redentor - Dá Pra Virar - Confia - Frio na Barriga,,,,,0,Dá Pra Virar - Acelero - Poder Bélico (Paz no CPX) - Cristo Redentor - Traçantes De Parafal,0,,41.645,,
Benny,Aritsta ,A Matilha ,12,,,,,97,201,,,,Falta Bem Menos do Que Ontem - Deus É Bom - Postura É Lixo - Verão 021 - Sem Spoiler,9.860,,,,0,Falta Bem Menos do Que Ontem - Deus É Bom - Postura É Lixo - Meu Dinheiro - Verão 021,0,,25.036,,
Feek ,Aritsta ,A Matilha ,20,,,,,90,166,,,,Maridão (feat. Borges & Orochi) - Vivência de Trap - XRE - Floripa - Camuflado,865,,,,0,Maridão - Quebra Osso - Acelero - Poder Bélico (Paz no CPX) - Joga Pra Raul,0,,19.731,,
Oliveira ,Aritsta ,A Matilha ,8,,,,,96,196,,,,Duas Doses - Drill 23 - Acelero - Te Ver Voltando - Fetiche,,,,,0,Duas Doses - Acelero - Poder Bélico (Paz no CPX) - Boca - Traçantes De Parafal,0,,30.182,,
Pior versão de mim ,Aritsta ,A Matilha ,48,,,,,92,182,,,,"Gasolina - Proibidão 2022 - Oi Oi, Reflexo de Bolinha - Vulgo Malvadão - Na arte do 157 Remix",2.250,,,,0,"Oi Oi, Reflexo de Bolinha - Gasolina - Meia Noite - Pitaya - Vulgo Malvadão",0,,20.293,,
Oreozin ,Aritsta ,A Matilha ,10,,,,,95,183,,,,Diamante - Acelero - Baw Baw - Partiu Bailão - Joga Pra Raul,97,,,,0,Diamante - Produto - Acelero - Poder Bélico (Paz no CPX) - Partiu Bailão,0,,14.576,,
Peziinho,Aritsta ,A Matilha ,4,,,,,99,194,,,,Set do Nemo 1 (Invicto) - Sem Stress - MINHA BITCH - Me Avista,,,,,0,MINHA BITCH - AR 15 - Sem Stress - Me Avista,0,,14.515,,
Grone,Aritsta ,A Matilha ,19,,,,,100,195,,,,Ouro e fuzil - Bota a Cara no Beco - Rival - Novo Artigo 157 - Mundo De Ilusões,6,,,,0,Ouro e fuzil - Rival - Boca - Ak 47 - Velório,0,,5.970,,
VT no Beat,Produtor ,A Matilha ,34,,,,,93,175,,,,Gasolina - Proibidão 2022 - Nós É Só Menorzin - Federal - Quem Diria,591,,,,0,Gasolina - Nós É Só Menorzin - Linha Amarela - Federal - Quem Diria,0,,6.454,,
